과학	📡	위성 안테나
과학자	🧑‍🔬	과학자
과학자	👨‍🔬	남자 과학자
과학자	👩‍🔬	여자 과학자
과학자	🥼	실험실 가운
관	⚰	관
관계에따라뒤에옴	⊱	관계에 따라 뒤에 옴
관계에따라앞에옴	⊰	관계에 따라 앞에 옴
관람차	🎡	관람차
관리자	🧑‍💼	회사원
관리자	👨‍💼	남자 회사원
관리자	👩‍💼	여자 회사원
관자놀이	💆‍♂	마사지 받는 남자
관자놀이	💆‍♀	마사지 받는 여자
관현악	🪉	하프
괄호	{	여는 중괄호
괄호	«	왼쪽 이중 꺽쇠괄호
괄호	»	오른쪽 이중 꺽쇠괄호
괄호	)	닫는 괄호
괄호	[	여는 대괄호
괄호	]	닫는 대괄호
괄호	}	닫는 중괄호
괄호	《	여는 이중 소괄호
괄호	》	닫는 이중 소괄호
괄호	【	여는 검은색 렌즈 괄호
괄호	】	닫는 검은색 렌즈 괄호
괄호	〔	여는 거북등괄호
괄호	〕	닫는 거북등괄호
괄호	〖	여는 흰색 렌즈 괄호
괄호	〗	닫는 흰색 렌즈 괄호
괌	🇬🇺	깃발: 괌
광대	🤡	어릿광대 얼굴
광대역	🛜	무선
광산	⛏	곡괭이
광학	💽	엠디
광학	💿	씨디
광학	📀	디비디
괭이	🐈	고양이
괴로움	😧	괴로워하는 얼굴
괴로워하는얼굴	😧	괴로워하는 얼굴
괴물	💩	똥
괴물	👹	도깨비 가면
괴물	👽	외계인
괴물	🧌	트롤
괴생명체	🫈	털복숭이
괴짜	😜	윙크하면서 혀를 내민 얼굴
괴짜	🤪	괴짜 얼굴
괴짜	🤓	모범생 얼굴
괴짜얼굴	🤪	괴짜 얼굴
교사	🧑‍🏫	교사
교사	👨‍🏫	남교사
교사	👩‍🏫	여교사
교수	🧑‍🏫	교사
교수	👨‍🏫	남교사
교수	👩‍🏫	여교사
교외	🏠	집
교외	🏡	정원이 있는 집
교육	🎓	졸업 모자
교육	📕	펼치지 않은 책
교육	📖	펼쳐진 책
